id	house_id	cancellation_policy	transit	host_response_time	amenities
	1	moderate		within a few hours	TV, Cable TV ,Internet, Wireless Internet , Air Conditioning ,Kitchen,Heating, Family/Kid Friendly ,Washer,Dryer
	2	strict	Convenient bus stops are just down the block, if you're headed downtown or further afield to explore. Zip cars are also strategically located on Queen Anne hill.	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Buzzer/Wireless Intercom ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials
	3	strict	A bus stop is just 2 blocks away.  Easy bus access to all the sites: Lower Queen Anne, Seattle Center, The Space Needle, Experience Music Project, Chihuly Glass Museum, Pacific Science Center and more.	within a few hours	TV, Cable TV ,Internet, Wireless Internet , Air Conditioning ,Kitchen, Free Parking on Premises , Pets Allowed , Pets live on this property ,Dog(s),Cat(s), Hot Tub , Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector ,Essentials,Shampoo
	4	flexible		N/A	Internet, Wireless Internet ,Kitchen, Indoor Fireplace ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , Safety Card , Fire Extinguisher ,Essentials,Shampoo
	5	strict	The nearest public transit bus (D Line) is 2 blocks away next to the Whole Foods Market on 15th Ave. W. Downtown is a 15 minute bus ride or a 7 minute drive. The light rail located at Westlake Center in downtown runs to the airport. Parking: street parking is available - unlimited and no zoning	within an hour	TV, Cable TV ,Internet, Wireless Internet ,Kitchen,Heating, Family/Kid Friendly , Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	6	strict	The #1 and #2 bus picks up 2-3 blocks away (different directions). They both go downtown to Westlake.	N/A	Wireless Internet , Free Parking on Premises ,Heating, Smoke Detector ,Essentials,Shampoo
	7	moderate	The bus goes through the lower Queen Anne neighborhood past Seattle Center and to downtown. From downtown you can catch the light rail to the airport or ride a ferry. It is harder to bike around our neighborhood because there are a lot of hills. Given the hills, we are within biking distance of the Burke Gilman Trail and Seattle is a bike friendly city. Our street is level from the house to the bus stops. You can always put your bike on the bus.	within an hour	Wireless Internet , Free Parking on Premises ,Heating, Smoke Detector , First Aid Kit ,Essentials,Shampoo
	8	strict	the D line runs out in front of our house .	within an hour	Wireless Internet , Pets live on this property ,Dog(s),Heating, Family/Kid Friendly ,Essentials,Shampoo
	9	strict	Bus stop to downtown directly across the street: Request a stop at the West Lee Street location (for your return to the apartment) 10 minute walk to downtown 5 Uber to downtown Limited off-street parking (If needed, please inquire for further instruction)	N/A	TV, Cable TV ,Internet, Wireless Internet ,Kitchen,Breakfast, Indoor Fireplace ,Heating,Washer,Dryer, Smoke Detector , First Aid Kit , Fire Extinguisher ,Essentials,Shampoo
	10	strict	Convenient bus stops are just down the block, if you're headed downtown or further afield to explore. Zip cars are also strategically located on Queen Anne hill.	within an hour	TV,Internet, Wireless Internet ,Kitchen, Free Parking on Premises , Buzzer/Wireless Intercom ,Heating, Family/Kid Friendly ,Washer,Dryer, Smoke Detector , Carbon Monoxide Detector , First Aid Kit , Safety Card , Fire Extinguisher ,Essentials
